Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,producto0,producto1,producto2,producto3,producto4,producto5,producto6,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,Productividad_especifica_global
4002,96.70898200565921,1.2304145288567852,1.1051887221008039,71.43581082159844,197.09780138857917,0.9,6,1.0644408087186326,0.9160692636695178,71.43581082159844,1.958865680182353e-11,0.0,0.0,0.0,0.0,0.0,0.0,26.171882836965594,0.0,0.0,0.0,0.0,0.0,0.0,206.11874700357794,206.11874700357794,206.11874700357794,206.11874700357794,206.11874700357794,206.11874700357794,0.0,7.875579616780664,0.0,0.0,0.0,0.0,0.0,47.25347770068399
4003,98.87411052795588,0.8983747549477651,2.034462420795265,68.79381711450105,191.2184136353032,0.9,6,1.0436941816765188,1.0606682465079014,68.79381711450105,6.842657353372397e-14,0.0,0.0,0.0,0.0,0.0,0.0,16.979487388934167,0.0,0.0,0.0,0.0,0.0,0.0,169.34247985445262,169.34247985445262,169.34247985445262,169.34247985445262,169.34247985445262,169.34247985445262,0.0,9.973356437416133,0.0,0.0,0.0,0.0,0.0,59.8401386244968
4004,106.22925881453673,1.0750066431389096,0.9416454472924327,71.59555239666307,188.2727636366476,0.9,6,1.092287482089449,0.9226065018062077,71.59555239666307,1.6026196779591794e-11,0.0,0.0,0.0,0.0,0.0,0.0,30.932905237636614,0.0,0.0,0.0,0.0,0.0,0.0,200.60901834366507,200.60901834366507,200.60901834366507,200.60901834366507,200.60901834366507,200.60901834366507,0.0,6.485295086333518,0.0,0.0,0.0,0.0,0.0,38.911770518001106
4005,96.64510862504899,0.9919517817905205,2.380845645873543,65.96046949250547,196.20901678504737,0.9,6,1.0907876647370682,0.9052109004891435,65.96046949250547,1.1243978874393098e-14,0.0,0.0,0.0,0.0,0.0,0.0,15.250043319327862,0.0,0.0,0.0,0.0,0.0,0.0,212.79034266302054,212.79034266302054,212.79034266302054,212.79034266302054,212.79034266302054,212.79034266302054,0.0,13.953425456393994,0.0,0.0,0.0,0.0,0.0,83.72055273836396
4006,97.67478991043005,0.9804878826519418,0.40935559160923746,57.3004890938078,178.02695121188486,0.9,6,0.9494337060668763,0.9700242128200885,57.3004890938078,9.512427343750177e-12,0.0,0.0,0.0,0.0,0.0,0.0,71.88549953456899,0.0,0.0,0.0,0.0,0.0,0.0,156.8232083813071,156.8232083813071,156.8232083813071,156.8232083813071,156.8232083813071,156.8232083813071,0.0,2.181569431897631,0.0,0.0,0.0,0.0,0.0,13.089416591385785
4007,88.8431347997572,1.1561915211231213,2.2200262354618974,82.63990221603086,193.49129665853712,0.9,6,0.9317208551418363,1.0969740670396821,82.63990221603086,2.2275268760192037e-13,0.0,0.0,0.0,0.0,0.0,0.0,15.111175881062588,0.0,0.0,0.0,0.0,0.0,0.0,147.90859111604334,147.90859111604334,147.90859111604334,147.90859111604334,147.90859111604334,147.90859111604334,0.0,9.788026575840682,0.0,0.0,0.0,0.0,0.0,58.72815945504409
4008,108.10747480443132,0.7564163008437041,2.415856490081,52.108608402270995,161.43635844773723,0.9,6,0.9854912415115058,1.0455217940708572,52.108608402270995,1.0209803741630916e-16,0.0,0.0,0.0,0.0,0.0,0.0,16.877628494096633,0.0,0.0,0.0,0.0,0.0,0.0,136.95047429195665,136.95047429195665,136.95047429195665,136.95047429195665,136.95047429195665,136.95047429195665,0.0,8.114319754096877,0.0,0.0,0.0,0.0,0.0,48.68591852458127
4009,95.81483487655406,1.1692596586517943,0.16718058032025182,69.1991722422327,192.35317781682994,0.9,6,0.9246105956436018,0.9015180565849911,69.1991722422327,12.902329942210917,2.3561486030749813e-13,3.606306131061841e-15,0.0,0.0,0.0,0.0,10.04650771509094,189.22045683145578,25.0,0.0,0.0,0.0,0.0,177.55230359998072,355.10460719996144,532.6569107999421,532.6569107999421,532.6569107999421,532.6569107999421,0.0,17.673037102562315,1.782054581942571,2.3751019766863117,0.0,0.0,0.0,11.87550988343156
4010,117.53839806016379,0.9406431095449994,1.6190234914343284,48.196435295599635,215.77547611136765,0.9,6,1.0374020365690697,0.9863557053506103,48.196435295599635,4.564853204740232e-17,0.0,0.0,0.0,0.0,0.0,0.0,25.63325702524834,0.0,0.0,0.0,0.0,0.0,0.0,204.2481484425769,204.2481484425769,204.2481484425769,204.2481484425769,204.2481484425769,204.2481484425769,0.0,7.968091930003113,0.0,0.0,0.0,0.0,0.0,47.80855158001867
4011,89.3722601909374,1.0242978691731546,0.2859717732575665,87.03045817528134,204.9087321778663,0.9,6,1.0743299270903015,0.9254305269724588,87.03045817528134,2.2903086719865773e-13,1.7988499558370743e-16,0.0,0.0,0.0,0.0,0.0,117.39332654449643,25.0,0.0,0.0,0.0,0.0,0.0,214.0902198449179,428.1804396898358,428.1804396898358,428.1804396898358,428.1804396898358,428.1804396898358,0.0,1.8237000871064826,3.007026031911923,0.0,0.0,0.0,0.0,16.538643175515574
