Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,Productividad_especifica_global
10,94.91216388360776,1.2772792339905465,1.815274242037312,58.98199774030571,172.97814192531834,0.9,7,1.0163690110210202,1.041002722367675,58.98199774030571,6.928400861921846e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93807213774833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.99639475804872,151.99639475804872,151.99639475804872,151.99639475804872,151.99639475804872,151.99639475804872,151.99639475804872,0.0,8.025969784700617,0.0,0.0,0.0,0.0,0.0,0.0,56.18178849290433
11,95.83721726792977,0.8008500057261015,1.2564004256460863,55.708126649538876,178.28653085532537,0.9,7,0.9664710900020385,1.0165413426867633,55.708126649538876,2.697663382453341e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.900114390535105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.55444467974894,152.55444467974894,152.55444467974894,152.55444467974894,152.55444467974894,152.55444467974894,152.55444467974894,0.0,5.102135820859606,0.0,0.0,0.0,0.0,0.0,0.0,35.71495074601724
12,71.30796676435959,0.8341053943131049,1.2002285693528958,40.41191489472275,182.37597227235526,0.9,7,0.9850423481405293,0.9238207473752328,40.41191489472275,5.4961022004732904e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.439087055772333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.01582513035282,175.01582513035282,175.01582513035282,175.01582513035282,175.01582513035282,175.01582513035282,175.01582513035282,0.0,5.749706777002814,0.0,0.0,0.0,0.0,0.0,0.0,40.2479474390197
13,100.0453283732897,0.9637304221332369,0.45397376390519434,61.39175597617829,202.15454665968784,0.9,7,1.0864439672280608,1.0614758045487818,61.39175597617829,2.300579040294845e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17101462852251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.2186853929775,186.2186853929775,186.2186853929775,186.2186853929775,186.2186853929775,186.2186853929775,186.2186853929775,0.0,2.544978859981372,0.0,0.0,0.0,0.0,0.0,0.0,17.8148520198696
14,90.78681450590885,1.0546290769159672,0.0015365356679059431,58.5795256885187,169.55071930372299,0.9,7,1.0418631234478257,0.9988168309207326,58.5795256885187,58.05263638570572,57.525747082892735,56.99885778007975,56.47196847726678,55.945079174453795,55.41818987164082,54.891300568827845,0.0,5.880189996535934,5.9338029965803205,5.988402639058181,6.044016412942945,6.10067283795312,6.158401513321706,6.217233169361515,0.0,159.1721053102271,318.3442106204542,477.5163159306813,636.6884212409084,795.8605265511355,955.0326318613627,1114.2047371715898,0.0,27.069211267662546,26.94636866688055,26.823149299505598,26.69954792512579,26.575559179085456,26.4511775683153,26.32639746698062,105.30558986792248
15,85.99571988986686,1.1103057911302645,0.1903660497748989,67.54471081841127,186.6915120796781,0.9,7,1.0017034897351766,0.9116328871705585,67.54471081841127,4.786681457328011,5.4103622955875974e-15,0.0,0.0,0.0,0.0,0.0,0.0,13.904540222937369,180.79010276332204,0.0,0.0,0.0,0.0,0.0,0.0,184.62320480902784,369.2464096180557,369.2464096180557,369.2464096180557,369.2464096180557,369.2464096180557,369.2464096180557,0.0,13.277907924238125,1.8965411885735104,0.0,0.0,0.0,0.0,0.0,12.327517725727818
16,108.73109854559029,0.9669082509255986,0.5810854488048683,55.96675177928133,193.42407764927884,0.9,7,1.0388430273147233,0.9384639327679904,55.96675177928133,2.32532267554306e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.099649226182976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.7016293628517,192.7016293628517,192.7016293628517,192.7016293628517,192.7016293628517,192.7016293628517,192.7016293628517,0.0,4.2727966329941465,0.0,0.0,0.0,0.0,0.0,0.0,29.909576430959028
17,96.43636521444385,1.1472042984255073,1.7116096484604357,61.77384576880784,159.51426206119305,0.9,7,0.9737065231897203,1.0808938923999076,61.77384576880784,1.478289017285579e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.669321773720807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.32635732572146,129.32635732572146,129.32635732572146,129.32635732572146,129.32635732572146,129.32635732572146,129.32635732572146,0.0,6.575028809509228,0.0,0.0,0.0,0.0,0.0,0.0,46.0252016665646
18,98.1135217980983,1.27297672518594,1.5213052276849077,73.03367790031675,184.22936260356065,0.9,7,0.9681111480021369,1.0746488619245198,73.03367790031675,1.7729914147075923e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.12038589465509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.3688361292155,149.3688361292155,149.3688361292155,149.3688361292155,149.3688361292155,149.3688361292155,149.3688361292155,0.0,6.7525420596440515,0.0,0.0,0.0,0.0,0.0,0.0,47.26779441750836
19,112.58443638342432,0.8209165912959423,1.1208157062987263,60.56911806816961,194.97596583313322,0.9,7,1.031809329429335,1.0330903172248616,60.56911806816961,5.746878967258139e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.97139584039925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26078357929327,175.26078357929327,175.26078357929327,175.26078357929327,175.26078357929327,175.26078357929327,175.26078357929327,0.0,5.011546704602237,0.0,0.0,0.0,0.0,0.0,0.0,35.080826932215665
