Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,e0_st8,e0_st9,e0_st10,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,t_reaccion10,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,producto10,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,productivity_specif10,Productividad_especifica_global
2113,97.18231990715765,1.2194706715767634,0.3363301168560939,89.07170765039012,171.10191591189817,0.9,10,0.9784079680665394,0.9981237685416473,89.07170765039012,6.04339183278081e-13,4.640309908752318e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.00018198517981,21.32410741977141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.9499471311311,301.8998942622622,301.8998942622622,301.8998942622622,301.8998942622622,301.8998942622622,301.8998942622622,301.8998942622622,301.8998942622622,301.8998942622622,0.0,1.5561821023613545,2.551461714078372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.238886283744534
2114,83.97998055839716,0.8876494046967499,0.43396444940347645,53.93942857547022,208.25270637545722,0.9,10,1.0230188030200118,0.9337316965349858,53.93942857547022,2.32062407374942e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.61473327875929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.34998616117355,205.34998616117355,205.34998616117355,205.34998616117355,205.34998616117355,205.34998616117355,205.34998616117355,205.34998616117355,205.34998616117355,205.34998616117355,0.0,3.129632262448732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.29632262448732
2115,88.73191577255965,1.278710542136309,0.6182159910376002,55.615671969269364,174.30136087354916,0.9,10,1.048603147076839,0.96884425798111,55.615671969269364,2.676137572237782e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.32714968190965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.78545172923842,169.78545172923842,169.78545172923842,169.78545172923842,169.78545172923842,169.78545172923842,169.78545172923842,169.78545172923842,169.78545172923842,169.78545172923842,0.0,3.1838463661003673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.83846366100368
2116,86.67795094485845,0.7234785779422539,0.08384003476858892,55.77748400743141,224.77943132679584,0.9,10,1.0867176789581303,0.9170254190985402,55.77748400743141,9.205214305045288,2.1374345701910832e-12,4.883895726698148e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.48854285100803,346.9844088339063,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.73665191985472,479.47330383970944,719.2099557595642,719.2099557595642,719.2099557595642,719.2099557595642,719.2099557595642,719.2099557595642,719.2099557595642,719.2099557595642,0.0,11.156487137451883,1.3012442342028754,1.5352219443467263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.816997499120534
2117,86.01734631084197,1.20930730498202,1.3098333370850574,57.65031985565283,160.5609232467193,0.9,10,0.9322821733836292,1.080621497042228,57.65031985565283,1.219495712082367e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.796842716274043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6683304054016,124.6683304054016,124.6683304054016,124.6683304054016,124.6683304054016,124.6683304054016,124.6683304054016,124.6683304054016,124.6683304054016,124.6683304054016,0.0,4.832697232625064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.326972326250626
2118,113.86793105749591,1.0293105642167628,1.6068862654856864,57.55252042423046,201.09760616755,0.9,10,0.9455211026169754,1.0639949806741127,57.55252042423046,2.786474171513974e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.37856640669725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.83518286621754,160.83518286621754,160.83518286621754,160.83518286621754,160.83518286621754,160.83518286621754,160.83518286621754,160.83518286621754,160.83518286621754,160.83518286621754,0.0,6.879599889415937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.79599889415937
2119,100.9966227480544,1.2803601993773686,1.6274902486650826,48.692160711130825,201.89375093721617,0.9,10,0.9794181115937151,1.0858373863282236,48.692160711130825,1.7758866895702982e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25666444419359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.89614034081114,163.89614034081114,163.89614034081114,163.89614034081114,163.89614034081114,163.89614034081114,163.89614034081114,163.89614034081114,163.89614034081114,163.89614034081114,0.0,7.047276308006006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.47276308006006
2120,84.24366739541526,1.1551365188443863,1.5352056332580704,42.16712308028122,177.94198661846264,0.9,10,1.0149319622321968,0.9051769843123778,42.16712308028122,2.9999159631207885e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.719593462793053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.56610861181815,179.56610861181815,179.56610861181815,179.56610861181815,179.56610861181815,179.56610861181815,179.56610861181815,179.56610861181815,179.56610861181815,179.56610861181815,0.0,7.903579300654574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.03579300654576
2121,95.31645642609118,1.1944786760329227,1.5746886844254517,51.28674902750784,145.92882121059716,0.9,10,1.0153602679972844,0.954036698784055,51.28674902750784,6.017233953639777e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83224937069001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.77795034676348,139.77795034676348,139.77795034676348,139.77795034676348,139.77795034676348,139.77795034676348,139.77795034676348,139.77795034676348,139.77795034676348,139.77795034676348,0.0,6.402361386290164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02361386290163
2122,114.54323903673688,0.8887269209882316,1.6697590222266263,58.960720092042685,175.41962894261505,0.9,10,1.0069167531218903,0.9257865308786222,58.960720092042685,2.844574960460585e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.12140053496471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.71309106970838,171.71309106970838,171.71309106970838,171.71309106970838,171.71309106970838,171.71309106970838,171.71309106970838,171.71309106970838,171.71309106970838,171.71309106970838,0.0,8.129815576644727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.29815576644725
