Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,producto0,producto1,producto2,producto3,producto4,producto5,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,Productividad_especifica_global
4841,71.51307079746309,1.166610832744317,0.2583177031897983,71.72871050716262,167.7015313847183,0.9,5,1.0026719272472657,1.0135145387154776,71.72871050716262,1.8475544329337377,6.918601632705162e-17,0.0,0.0,0.0,0.0,14.164837374011293,146.42277814202203,0.0,0.0,0.0,0.0,149.31670945741996,298.6334189148399,298.6334189148399,298.6334189148399,298.6334189148399,0.0,10.541364190412548,1.8596291996441277,0.0,0.0,0.0,8.368331398398574
4842,88.62135401070528,1.2438383254944745,0.26473404880215023,66.32346778650479,177.76901346243736,0.9,5,0.9967203322494818,1.0733449506243147,66.32346778650479,6.423468934501031e-13,8.57938612021757e-16,0.0,0.0,0.0,0.0,121.88908774233845,25.0,0.0,0.0,0.0,0.0,148.57049548981817,297.14099097963634,297.14099097963634,297.14099097963634,297.14099097963634,0.0,1.2188990683389278,2.0228935692000363,0.0,0.0,0.0,9.103021061400163
4843,99.68355630192079,0.958100049769534,1.5763899960850472,62.702974247857476,206.25211153815965,0.9,5,0.9170188218988344,0.949131332616504,62.702974247857476,1.7317150459369673e-15,0.0,0.0,0.0,0.0,0.0,24.186954433110788,0.0,0.0,0.0,0.0,0.0,179.34647783033606,179.34647783033606,179.34647783033606,179.34647783033606,179.34647783033606,0.0,7.415008711672242,0.0,0.0,0.0,0.0,37.075043558361216
4844,76.37730341970926,0.9824416738151818,0.8823039750431527,61.57124616996338,197.7065338563529,0.9,5,1.0433831077754314,0.9848835375734426,61.57124616996338,7.990693828237097e-12,0.0,0.0,0.0,0.0,0.0,33.631196663259374,0.0,0.0,0.0,0.0,0.0,188.5048179480315,188.5048179480315,188.5048179480315,188.5048179480315,188.5048179480315,0.0,5.605058298563751,0.0,0.0,0.0,0.0,28.025291492818756
4845,84.78127582194321,0.7821692457830469,1.1471789670320165,46.6297823056151,212.48125707535087,0.9,5,1.0822370429813997,0.9348224771406166,46.6297823056151,1.4862333691824004e-15,0.0,0.0,0.0,0.0,0.0,33.11146032974347,0.0,0.0,0.0,0.0,0.0,221.389176739326,221.389176739326,221.389176739326,221.389176739326,221.389176739326,0.0,6.686179785929157,0.0,0.0,0.0,0.0,33.43089892964579
4846,114.53958509504574,0.908435255965084,1.3622898960814978,63.19819414482541,162.60302995635908,0.9,5,1.0715726229869973,0.9324998010989289,63.19819414482541,7.8873735519177865e-16,0.0,0.0,0.0,0.0,0.0,28.57128584059963,0.0,0.0,0.0,0.0,0.0,168.1682501160506,168.1682501160506,168.1682501160506,168.1682501160506,168.1682501160506,0.0,5.885918157630991,0.0,0.0,0.0,0.0,29.429590788154954
4847,96.7740258409943,0.8701672655150943,1.1439169285756259,58.27562219083685,165.75299733991605,0.9,5,0.9221533382914043,1.062008698238329,58.27562219083685,7.425322601946883e-13,0.0,0.0,0.0,0.0,0.0,27.968721451313954,0.0,0.0,0.0,0.0,0.0,129.5325660459492,129.5325660459492,129.5325660459492,129.5325660459492,129.5325660459492,0.0,4.6313366977260895,0.0,0.0,0.0,0.0,23.15668348863045
4848,95.95288905436902,1.124671653459326,2.2342421162542756,46.07401101564584,135.69475194604456,0.9,5,0.9491038037802161,1.0476559098902987,46.07401101564584,4.011642427711304e-15,0.0,0.0,0.0,0.0,0.0,16.5513954034388,0.0,0.0,0.0,0.0,0.0,110.63705517075776,110.63705517075776,110.63705517075776,110.63705517075776,110.63705517075776,0.0,6.684454843473273,0.0,0.0,0.0,0.0,33.422274217366365
4849,103.96694932537068,0.7871102455226354,1.9544509599757858,51.351994680305744,172.053300196836,0.9,5,1.0866135769240384,0.9119560998630092,51.351994680305744,1.4209052867538026e-15,0.0,0.0,0.0,0.0,0.0,19.50736383860813,0.0,0.0,0.0,0.0,0.0,184.50439311596008,184.50439311596008,184.50439311596008,184.50439311596008,184.50439311596008,0.0,9.45819202647961,0.0,0.0,0.0,0.0,47.29096013239805
4850,102.77711791445768,0.9003213527380349,0.1842462051000568,67.17681997955496,213.64995405701382,0.9,5,0.9818056568102586,0.903319012541797,67.17681997955496,8.278435700926392e-11,8.254010479857268e-17,0.0,0.0,0.0,0.0,148.83405728625922,75.0,0.0,0.0,0.0,0.0,208.99201445142833,417.98402890285666,417.98402890285666,417.98402890285666,417.98402890285666,0.0,1.4041948345832205,1.8673835160317043,0.0,0.0,0.0,8.40322582214267
