Model,K,k,kd,e0,Si,Xopt,nlotes,V,Mbiocat,efinish0,efinish1,efinish2,efinish3,efinish4,efinish5,efinish6,efinish7,efinish8,efinish9,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,Productividad_especifica_global
32,10.0,1.0,0.6968468929994529,18.0,200.0,0.9,9,1.0,1.0,18.0,3.99257495182591e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.11685695749594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9896396189472125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9896396189472125
33,10.0,1.0,1.0987726044329431,18.0,200.0,0.9,9,1.0,1.0,18.0,6.040185879735555e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4277409382002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55080294810047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55080294810047
34,10.0,1.0,0.23777409545964923,18.0,200.0,0.9,9,1.0,1.0,18.0,1.4674690126027996e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.06602676922145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5375938260452255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5375938260452255
35,10.0,1.0,0.5943831838054328,18.0,200.0,0.9,9,1.0,1.0,18.0,2.154728649444757e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.80597297679167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.113865068446605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.113865068446605
36,10.0,1.0,0.12519743711560183,18.0,200.0,0.9,9,1.0,1.0,18.0,1.70382795444084e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.92141798714744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978869820301997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978869820301997
37,10.0,1.0,1.2969992338593077,18.0,200.0,0.9,9,1.0,1.0,18.0,2.3544745588178483e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.198035598434963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554
38,10.0,1.0,0.11467970836684661,18.0,200.0,0.9,9,1.0,1.0,18.0,7.793735141072355e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.3966423256803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241404149106901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241404149106901
39,10.0,1.0,0.6525607981330539,18.0,200.0,0.9,9,1.0,1.0,18.0,2.9443871247084884e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.11685695749594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9896396189472125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9896396189472125
40,10.0,1.0,0.7413973479815927,18.0,200.0,0.9,9,1.0,1.0,18.0,2.566148226437457e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00200428761331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601
41,10.0,1.0,0.7124248626045474,18.0,200.0,0.9,9,1.0,1.0,18.0,8.919866414221936e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00200428761331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601
42,10.0,1.0,0.5032443109736293,18.0,200.0,0.9,9,1.0,1.0,18.0,1.204212320255774e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.8554818764004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.775401474050235
43,10.0,1.0,0.9235259060487234,18.0,200.0,0.9,9,1.0,1.0,18.0,2.640280675627326e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
44,10.0,1.0,0.3660442671120442,18.0,200.0,0.9,9,1.0,1.0,18.0,5.05587485554033e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.95449967561788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363
45,10.0,1.0,0.08820377196937637,18.0,200.0,0.9,9,1.0,1.0,18.0,0.09235414068693107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.776315418543014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.011226080759116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.011226080759116
46,10.0,1.0,1.096414068552056,18.0,200.0,0.9,9,1.0,1.0,18.0,3.059244012159697e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.017839158278456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.803112173014128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.803112173014128
47,10.0,1.0,1.0559054172762077,18.0,200.0,0.9,9,1.0,1.0,18.0,1.2350049419344893e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.247544498043695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106738712252433
48,10.0,1.0,0.04906639770573486,18.0,200.0,0.9,9,1.0,1.0,18.0,8.038252853726307,8.805257504822628e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.429981469294994,655.1337691572551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.955581437288362,0.2747530481164889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536062286959548
49,10.0,1.0,0.959586667696708,18.0,200.0,0.9,9,1.0,1.0,18.0,6.359123949704976e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
50,10.0,1.0,0.6346412509511311,18.0,200.0,0.9,9,1.0,1.0,18.0,6.608616549330244e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.11685695749593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.989639618947213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.989639618947213
51,10.0,1.0,0.24740488626735097,18.0,200.0,0.9,9,1.0,1.0,18.0,3.654732319162311e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.12769933983706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5237747031893416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5237747031893416
52,10.0,1.0,1.0901548286026932,18.0,200.0,0.9,9,1.0,1.0,18.0,7.987595600140158e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4277409382002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55080294810047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55080294810047
53,10.0,1.0,0.10415957509899408,18.0,200.0,0.9,9,1.0,1.0,18.0,3.297283660401197e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.7834340363011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525142815578005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5525142815578005
54,10.0,1.0,0.8221116400617415,18.0,200.0,0.9,9,1.0,1.0,18.0,1.4022174620672978e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.11685695749593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.989639618947213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.989639618947213
55,10.0,1.0,0.11730567113800225,18.0,200.0,0.9,9,1.0,1.0,18.0,1.338082256643955e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.7041258400219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6984754295774868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6984754295774868
